SRR32635209	SRR32635208	SRR32635207	SRR32635206	SRR32635205	SRR32635204
ARX	0.922341645499739	1.00447863183325	1.01051488725868	2.78878421529163	0.950268710820064	0
SLC25A13	0	0	0	0	0	0
ST7	345.878117062402	309.379418604642	343.57506166795	183.130163470817	208.108847669594	431.180696162752
CDC27	1031.17795966871	1272.67442653273	1253.03846020076	757.619711820894	877.098020086919	1216.58595374005
SLC4A1	0	0	0	0	0.950268710820064	0
CALCR	56.262840375484	33.1477948504974	37.389050828571	58.5644685211243	57.9663913600239	208.234246965739
HCCS	558.939037172841	578.579691935954	520.415166938218	675.815374839006	644.282185936003	593.014920706778
DVL2	152.186371507457	152.680752038655	144.503628877991	174.763810824942	182.451592477452	164.097640271914
PRSS22	26.7479077194924	30.1343589549976	37.389050828571	114.340152826957	75.071228154785	37.3463595101597
UPF1	0	0	0	0	0	0
SKAP2	0	0	1.01051488725868	0.929594738430545	0	7.92195504760962
