SRR32635221	SRR32635220	SRR32635219	SRR32635218	SRR32635217	SRR32635216
CFLAR	76.4233458885285	46.959087524376	99.2519345489452	5.18250534439519	15.1156996258016	81.1944980697063
TFPI	0	0	0	0	0	0
NDUFAF7	308.812703794462	382.381141269919	380.974733384028	119.197622921089	143.201364876015	97.4333976836475
RBM5	779.050230026938	737.183135898538	726.829551466122	1045.13857778636	566.440954398459	893.139478766769
MTMR7	0.779830060087025	0	6.87128777646543	3.45500356293013	8.75119452020091	4.42879080380216
SLC7A2	17.1562613219146	7.45382341656762	6.87128777646543	41.4600427551615	58.076109088606	13.2863724114065
ARF5	70.9645354679193	76.0289988489897	86.2728354156216	162.385167457716	185.366211200619	413.353808354868
SARM1	24.1747318626978	27.5791466413002	17.5599576509672	46.6425480995567	31.0269623898032	59.0505440506955
POLDIP2	51.4687839657437	45.4683228410625	45.8085851764362	24.1850249405109	21.4802047314022	5.90505440506955
PLXND1	1388.0975069549	945.890191562431	919.989085626761	628.810648453283	737.487029111477	364.637109513044
AK2	0	0	0	0	0	7.38131800633693
CD38	0	0	0	0	0	7.38131800633693
FKBP4	5433.0760286263	5032.0761885248	5399.30523946262	10047.1503610008	6864.11875639031	8805.91238155996
KDM1A	48.3494637253956	35.7783523995246	28.248627525469	13.8200142517205	26.2535835606027	2.95252720253477
RBM6	346.244546678639	357.783523995246	280.195845995868	483.700498810218	431.990784042645	1194.29725342532
CAMKK1	9.3579607210443	9.68997044153791	5.34433493725089	5.18250534439519	1.59112627640017	0
RECQL	648.818609992405	749.109253365046	654.299291603431	497.520513061938	626.108189763465	642.174666551313
VPS50	10.9176208412184	15.653029174792	19.850386909789	55.280057006882	36.5959043572038	47.2404352405564
HSPB6	0	0.745382341656762	0.76347641960727	1.72750178146506	1.59112627640017	0
ARHGAP33	4.67898036052215	4.47229404994057	12.9790991333236	5.18250534439519	7.95563138200083	0
NDUFAB1	200.416325442365	169.947173897742	207.665586133178	158.930163894786	147.974743705215	190.438004563493
PDK4	11.6974509013054	19.3799408830758	13.7425755529309	0	10.3423207966011	0
SLC22A16	0	0	0	0	0	1.47626360126739
ZMYND10	4.67898036052215	0.745382341656762	6.87128777646543	5.18250534439519	0	17.7151632152086
ABCB5	0.779830060087025	0.745382341656762	1.52695283921454	0	0	13.2863724114065
ARX	0	2.98152936662705	1.52695283921454	0	5.56894196740058	0
SLC25A13	0	0	0	0	0	0
ST7	135.690430455142	146.840321306382	218.354256007679	48.3700498810218	53.3027302594055	56.0980168481607
CDC27	595.790165906487	594.815108642096	675.676631352434	297.130306411991	389.03037457984	270.156239031932
SLC4A1	0	0	0	0	0	4.42879080380216
CALCR	35.8721827640032	29.8152936662705	23.6677690078254	70.8275730400676	56.4849828122059	39.8591172342194
HCCS	449.961944670213	456.919375435595	410.750313748712	367.957879452059	352.434470222637	394.162381538392
DVL2	138.80975069549	122.242704031709	127.500562074414	119.197622921089	173.432764127618	90.0520796773106
PRSS22	17.1562613219146	25.3429996163299	22.1408161686108	155.475160331856	108.196586795211	231.77338539898
UPF1	0	0	0	0	0	0
SKAP2	0.779830060087025	0.745382341656762	0	0	0.795563138200083	0
SLC25A5	2440.0882580123	2368.82508178519	2437.78020780601	1903.7069631745	1779.67474015359	1970.81190769196
MCUB	114.635018832793	106.589674856917	165.674383054778	20.7300213775808	21.4802047314022	59.0505440506955
HOXA11	3.1193202403481	0	0.76347641960727	0	0.795563138200083	4.42879080380216
DHX33	53.0284440859177	55.1582932826004	51.9163965332944	31.0950320663712	65.2361773324068	57.5742804494281
MEOX1	0.779830060087025	5.9630587332541	3.05390567842908	0	7.95563138200083	35.4303264304173
THSD7A	0	0	0	0	0	0
LIG3	219.912076944541	235.540819963537	192.396057741032	293.675302849061	233.895562630824	287.87140224714
