SRR32635203	SRR32635202	SRR32635201	SRR32635200	SRR32635199	SRR32635198
TSPOAP1	4.17165466584306	2.01484553979627	2.03766324087881	9.86475937562725	7.68873545848118	4.16965848866076
MPO	0	0	2.03766324087881	0	0	0
PON1	0	1.00742276989813	0	0	0	0
GCFC2	36.5019783261268	21.1558781678608	31.5837802336216	17.0391298306289	18.2607467138928	25.0179509319646
WDR54	94.9051436479295	124.920423467369	85.5818561169101	240.341410242555	208.556949311302	291.876094206253
CROT	19.8153596627545	16.1187643183701	27.508453751864	18.8327224443793	21.1440225108232	18.7634631989734
ABCB4	6.25748199876459	6.0445366193888	2.03766324087881	10.7615556825025	2.88327579693044	6.25448773299114
KMT2E	0	0	0	0	0	0
RHBDD2	347.290250931435	348.568278384754	360.66639363555	380.241634115087	298.899590948456	377.354093223799
SOX8	6.25748199876459	10.0742276989813	11.2071478248335	19.7295187512545	6.72764352617103	35.4420971536165
IBTK	412.993811918463	478.525815701614	604.167150920568	366.789689511959	347.915279496273	330.445435226365
ZNF195	430.723344248296	420.095295047522	517.566463183218	319.259485247573	334.459992443931	307.512313538731
MYCBP2	0	0	0	0	0	0
FBXL3	163.73744563434	150.105992714822	301.574159650064	149.764983248159	108.603388351047	126.132169281988
ITGAL	3.12874099938229	3.0222683096944	1.01883162043941	1.79359261375041	0	0
PDK2	151.222481636811	113.838772998489	72.3370450511978	145.281001713783	143.202697914212	155.319778702613
ITGA3	1172.2349611019	1046.71225792416	823.21594931504	1593.60703731724	1575.22967705633	2220.34314521185
ZFX	79.2614386510181	90.668049290832	110.033815007456	81.6084639256436	82.6539061786727	90.6900721283715
LAMP2	2552.00974182949	2346.28763109275	3125.7754115081	1768.4823171579	1595.41260763485	1493.78015356272
ITGA2B	11.4720503310684	7.05195938928694	7.13182134307584	8.96796306875205	12.4941951200319	19.8058778211386
ASB4	0	0	1.01883162043941	0	0	0
GDE1	377.534747258797	413.043335658235	354.553403912913	306.70433695132	287.366487760734	332.530264470696
REX1BD	0	0	0	0	0	0
CRLF1	74.0468703187143	109.809081918897	113.090309868774	178.462465068166	114.369939944908	127.174583904153
OSBPL7	0	0	0	0	0	0
TMEM98	375.448919925875	282.078375571477	227.199451357987	279.800447745064	273.911200708392	332.530264470696
YBX2	20.8582733292153	21.1558781678608	32.602611854061	46.6334079575107	33.6382176308552	34.3996825314513
KRT33A	0	0	0	0	0	0
MAP3K14	76.1326976516358	93.6903176005265	63.1675604672431	127.345075576279	127.82522699725	127.174583904153
ABCC8	5.21456833230382	9.0668049290832	13.2448110657123	8.07116676187684	7.68873545848118	4.16965848866076
TMEM132A	35.459064659666	23.1707237076571	28.5272853723034	32.2846670475074	27.8716660369943	40.6541702644424
AP2B1	54.2315106559597	63.4676345035824	82.5253612555918	38.5622411956338	57.6655159386089	87.562828261876
TAC1	0	0	0	0	0	0
ZNF263	0	0	0	0	0	0
CX3CL1	182.509891630634	130.964960086757	145.692921722835	156.939353703161	117.253215741838	176.168071145917
SPATA20	133.492949306978	93.6903176005265	84.5630244964707	122.861094041903	165.307812357345	130.301827770649
CACNA1G	11.4720503310684	8.05938215918507	6.11298972263643	2.69038892062561	8.64982739079133	5.21207311082595
TNFRSF12A	688.323019864104	726.351817096555	920.004953256783	846.575713690193	913.03733569464	1067.43257309715
DLX6	0	0	1.01883162043941	0.896796306875205	0	0
MAP3K9	32.3303236602837	26.1929920173515	20.3766324087881	21.5231113650049	29.7938499016146	48.9934872417639
RALA	77.1756113180966	98.7274314500171	142.636426861517	65.46613040189	62.4709756001596	36.4845117757816
BAIAP2L1	79.2614386510181	56.4156751142955	69.2805501898796	194.604798591919	173.957639748137	207.440509810873
KDM7A	38.5878056590483	41.3043335658235	72.3370450511978	26.0070928993809	20.1829305785131	13.5513900881475
ETV1	0	0	0	0	0	0
AGK	0	0	2.03766324087881	0	0	0
ALDH3B1	185.638632630016	185.365789661257	92.7136774599859	121.964297735028	158.580168831174	144.895632480961
TTC22	0	2.01484553979627	4.07532648175762	2.69038892062561	0.961091932310148	3.12724386649557
PHTF2	2220.36319589497	2137.75111772384	2688.69664633959	1345.19446031281	1493.53686280997	1248.8127173539
CCL26	0	0	0	0	0	0
FARP2	27.1157553279799	11.0816504688795	20.3766324087881	15.2455372168785	22.1051144431334	12.5089754659823
USH1C	3.12874099938229	0	1.01883162043941	0	2.88327579693044	1.04241462216519
